Region,Country,City,YearMonth,MonthlyAvgTemp
Africa,Ivory Coast,Abidjan,2016-06,80.32
Africa,Ivory Coast,Abidjan,2016-07,78.19
Africa,Ivory Coast,Abidjan,2016-08,76.77
Africa,Ivory Coast,Abidjan,2016-09,78.46
Africa,Ivory Coast,Abidjan,2016-10,80.83
Africa,Ivory Coast,Abidjan,2016-11,82.91
Africa,Ivory Coast,Abidjan,2016-12,82.76
Africa,Ivory Coast,Abidjan,2017-01,82.34
Africa,Ivory Coast,Abidjan,2017-02,83.08
Africa,Ivory Coast,Abidjan,2017-03,83.92
Africa,Ivory Coast,Abidjan,2017-04,83.65
Africa,Ivory Coast,Abidjan,2017-05,83.07
Africa,Ivory Coast,Abidjan,2017-06,80.23
Africa,Ivory Coast,Abidjan,2017-07,78.58
Africa,Ivory Coast,Abidjan,2017-08,77.12
Africa,Ivory Coast,Abidjan,2017-09,78.61
Africa,Ivory Coast,Abidjan,2017-10,80.75
Africa,Ivory Coast,Abidjan,2017-11,81.65
Africa,Ivory Coast,Abidjan,2017-12,82.2
Africa,Ivory Coast,Abidjan,2018-01,82.21
Africa,Ivory Coast,Abidjan,2018-02,83.06
Africa,Ivory Coast,Abidjan,2018-03,83.51
Africa,Ivory Coast,Abidjan,2018-04,83.71
Africa,Ivory Coast,Abidjan,2018-05,81.69
Africa,Ivory Coast,Abidjan,2018-06,80.08
Africa,Ivory Coast,Abidjan,2018-07,78.75
Africa,Ivory Coast,Abidjan,2018-08,78.16
Africa,Ivory Coast,Abidjan,2018-09,79.02
Africa,Ivory Coast,Abidjan,2018-10,80.87
Africa,Ivory Coast,Abidjan,2018-11,82.71
Africa,Ivory Coast,Abidjan,2018-12,83.23
Africa,Ivory Coast,Abidjan,2019-01,83.9
Africa,Ivory Coast,Abidjan,2019-02,83.99
Africa,Ivory Coast,Abidjan,2019-03,84.01
Africa,Ivory Coast,Abidjan,2019-04,84.54
Africa,Ivory Coast,Abidjan,2019-05,83.08
Africa,Ivory Coast,Abidjan,2019-06,79.98
Africa,Ivory Coast,Abidjan,2019-07,78.03
Africa,Ivory Coast,Abidjan,2019-08,77.07
Africa,Ivory Coast,Abidjan,2019-09,78.61
Africa,Ivory Coast,Abidjan,2019-10,79.65
Africa,Ivory Coast,Abidjan,2019-11,82.69
Africa,Ivory Coast,Abidjan,2019-12,83.21
Africa,Ivory Coast,Abidjan,2020-01,82.89
Africa,Ivory Coast,Abidjan,2020-02,84.79
Africa,Ivory Coast,Abidjan,2020-03,83.62
Africa,Ivory Coast,Abidjan,2020-04,83.32
Africa,Ivory Coast,Abidjan,2020-05,83.31
North America,US,Abilene,1995-01,45.5
North America,US,Abilene,1995-02,50.04
North America,US,Abilene,1995-03,53.1
North America,US,Abilene,1995-04,62.62
North America,US,Abilene,1995-05,69.76
North America,US,Abilene,1995-06,76.12
North America,US,Abilene,1995-07,82.87
North America,US,Abilene,1995-08,80.61
North America,US,Abilene,1995-09,73.58
North America,US,Abilene,1995-10,66.1
North America,US,Abilene,1995-11,53.83
North America,US,Abilene,1995-12,45.75
North America,US,Abilene,1996-01,42.4
North America,US,Abilene,1996-02,51.0
North America,US,Abilene,1996-03,51.54
